,datetime,lake,depth,unit,variable,observation
1,5/30/22 9:00,peter,1,MicroGM-PER-L,TP,15.934
2,5/30/22 9:00,peter,1,MilliGM-PER-L,doc,4.504
3,5/30/22 9:00,peter,4,MicroGM-PER-L,TP,43.351
4,5/30/22 9:00,peter,4,MilliGM-PER-L,doc,4.451
5,5/30/22 9:00,peter,12,MicroGM-PER-L,TP,125.903
6,6/2/22 8:00,peter,0,MilliGM-PER-L,do,8.65
7,6/2/22 8:00,peter,0.5,MilliGM-PER-L,do,8.64
8,6/2/22 8:00,peter,1,MilliGM-PER-L,do,8.51
9,6/2/22 8:00,peter,1.5,MilliGM-PER-L,do,9.16
10,6/2/22 8:00,peter,2,MilliGM-PER-L,do,10.99
11,6/2/22 8:00,peter,2.5,MilliGM-PER-L,do,12.69
12,6/2/22 8:00,peter,3,MilliGM-PER-L,do,13.09
13,6/2/22 8:00,peter,3.25,MilliGM-PER-L,do,13.08
14,6/2/22 8:00,peter,3.5,MilliGM-PER-L,do,12.8
15,6/2/22 8:00,peter,3.75,MilliGM-PER-L,do,12.52
16,6/2/22 8:00,peter,4,MilliGM-PER-L,do,11.4
17,6/2/22 8:00,peter,4.25,MilliGM-PER-L,do,6.12
18,6/2/22 8:00,peter,4.5,MilliGM-PER-L,do,2.05
19,6/2/22 8:00,peter,4.75,MilliGM-PER-L,do,1.55
20,6/2/22 8:00,peter,5,MilliGM-PER-L,do,1.27
21,6/2/22 8:00,peter,5.25,MilliGM-PER-L,do,1.1
22,6/2/22 8:00,peter,5.5,MilliGM-PER-L,do,0.99
23,6/2/22 8:00,peter,5.75,MilliGM-PER-L,do,0.93
24,6/2/22 8:00,peter,6,MilliGM-PER-L,do,0.91
25,6/2/22 8:00,peter,6.5,MilliGM-PER-L,do,0.79
26,6/2/22 8:00,peter,7,MilliGM-PER-L,do,0.76
27,6/2/22 8:00,peter,7.5,MilliGM-PER-L,do,0.75
28,6/2/22 8:00,peter,8,MilliGM-PER-L,do,0.75
29,6/3/22 10:00,peter,0,MilliGM-PER-L,do,8.29
30,6/3/22 10:00,peter,0.5,MilliGM-PER-L,do,8.37
31,6/3/22 10:00,peter,1,MilliGM-PER-L,do,8.33
32,6/3/22 10:00,peter,1.5,MilliGM-PER-L,do,8.84
33,6/3/22 10:00,peter,2,MilliGM-PER-L,do,10.52
34,6/3/22 10:00,peter,2.5,MilliGM-PER-L,do,12.46
35,6/3/22 10:00,peter,3,MilliGM-PER-L,do,12.89
36,6/3/22 10:00,peter,3.25,MilliGM-PER-L,do,12.82
37,6/3/22 10:00,peter,3.5,MilliGM-PER-L,do,12.64
38,6/3/22 10:00,peter,3.75,MilliGM-PER-L,do,12.09
39,6/3/22 10:00,peter,4,MilliGM-PER-L,do,6.85
40,6/3/22 10:00,peter,4.25,MilliGM-PER-L,do,3.22
41,6/3/22 10:00,peter,4.5,MilliGM-PER-L,do,1.36
42,6/3/22 10:00,peter,4.75,MilliGM-PER-L,do,1.04
43,6/3/22 10:00,peter,5,MilliGM-PER-L,do,1
44,6/3/22 10:00,peter,5.25,MilliGM-PER-L,do,1
45,6/3/22 10:00,peter,5.5,MilliGM-PER-L,do,0.98
46,6/3/22 10:00,peter,5.75,MilliGM-PER-L,do,1
47,6/3/22 10:00,peter,6,MilliGM-PER-L,do,0.8
48,6/3/22 10:00,peter,6.5,MilliGM-PER-L,do,0.71
49,6/3/22 10:00,peter,7,MilliGM-PER-L,do,0.7
50,6/3/22 10:00,peter,7.5,MilliGM-PER-L,do,0.7
51,6/3/22 10:00,peter,8,MilliGM-PER-L,do,0.7
52,6/4/22 8:00,peter,0,MilliGM-PER-L,do,8.69
53,6/4/22 8:00,peter,0.5,MilliGM-PER-L,do,8.68
54,6/4/22 8:00,peter,1,MilliGM-PER-L,do,8.69
55,6/4/22 8:00,peter,1.5,MilliGM-PER-L,do,8.64
56,6/4/22 8:00,peter,2,MilliGM-PER-L,do,10.55
57,6/4/22 8:00,peter,2.5,MilliGM-PER-L,do,12.07
58,6/4/22 8:00,peter,3,MilliGM-PER-L,do,12.82
59,6/4/22 8:00,peter,3.25,MilliGM-PER-L,do,12.99
60,6/4/22 8:00,peter,3.5,MilliGM-PER-L,do,12.67
61,6/4/22 8:00,peter,3.75,MilliGM-PER-L,do,12.4
62,6/4/22 8:00,peter,4,MilliGM-PER-L,do,10.42
63,6/4/22 8:00,peter,4.25,MilliGM-PER-L,do,9.02
64,6/4/22 8:00,peter,4.5,MilliGM-PER-L,do,4.12
65,6/4/22 8:00,peter,4.75,MilliGM-PER-L,do,1.4
66,6/4/22 8:00,peter,5,MilliGM-PER-L,do,1.05
67,6/4/22 8:00,peter,5.25,MilliGM-PER-L,do,0.97
68,6/4/22 8:00,peter,5.5,MilliGM-PER-L,do,0.98
69,6/4/22 8:00,peter,5.75,MilliGM-PER-L,do,0.98
70,6/4/22 8:00,peter,6,MilliGM-PER-L,do,0.97
71,6/4/22 8:00,peter,6.5,MilliGM-PER-L,do,0.96
72,6/4/22 9:00,peter,7,MilliGM-PER-L,do,0.87
73,6/4/22 9:00,peter,7.5,MilliGM-PER-L,do,0.76
74,6/4/22 9:00,peter,8,MilliGM-PER-L,do,0.74
75,6/5/22 8:00,peter,0,MilliGM-PER-L,do,8.53
76,6/5/22 8:00,peter,0.5,MilliGM-PER-L,do,8.63
77,6/5/22 8:00,peter,1,MilliGM-PER-L,do,8.49
78,6/5/22 8:00,peter,1.5,MilliGM-PER-L,do,8.39
79,6/5/22 8:00,peter,2,MilliGM-PER-L,do,10.18
80,6/5/22 8:00,peter,2.5,MilliGM-PER-L,do,11.88
81,6/5/22 9:00,peter,3,MilliGM-PER-L,do,12.57
82,6/5/22 9:00,peter,3.25,MilliGM-PER-L,do,12.66
83,6/5/22 9:00,peter,3.5,MilliGM-PER-L,do,12.42
84,6/5/22 9:00,peter,3.75,MilliGM-PER-L,do,11.74
85,6/5/22 9:00,peter,4,MilliGM-PER-L,do,11.02
86,6/5/22 9:00,peter,4.25,MilliGM-PER-L,do,4.35
87,6/5/22 9:00,peter,4.5,MilliGM-PER-L,do,1.49
88,6/5/22 9:00,peter,4.75,MilliGM-PER-L,do,1.16
89,6/5/22 9:00,peter,5,MilliGM-PER-L,do,1.11
90,6/5/22 9:00,peter,5.25,MilliGM-PER-L,do,1.09
91,6/5/22 9:00,peter,5.5,MilliGM-PER-L,do,1.1
92,6/5/22 9:00,peter,5.75,MilliGM-PER-L,do,1.08
93,6/5/22 9:00,peter,6,MilliGM-PER-L,do,1.07
94,6/5/22 9:00,peter,6.5,MilliGM-PER-L,do,0.96
95,6/5/22 9:00,peter,7,MilliGM-PER-L,do,0.76
96,6/5/22 9:00,peter,7.5,MilliGM-PER-L,do,0.74
97,6/5/22 9:00,peter,8,MilliGM-PER-L,do,0.74
98,6/6/22 9:00,peter,0,MilliGM-PER-L,do,8.52
99,6/6/22 9:00,peter,0.5,MilliGM-PER-L,do,8.47
100,6/6/22 9:00,peter,1,MilliGM-PER-L,do,8.51
101,6/6/22 9:00,peter,1,MicroGM-PER-L,TP,16.4
102,6/6/22 9:00,peter,1,MilliGM-PER-L,doc,4.529
103,6/6/22 9:00,peter,1.5,MilliGM-PER-L,do,8.53
104,6/6/22 9:00,peter,2,MilliGM-PER-L,do,10.5
105,6/6/22 9:00,peter,2.5,MilliGM-PER-L,do,12.18
106,6/6/22 9:00,peter,3,MilliGM-PER-L,do,12.76
107,6/6/22 9:00,peter,3.25,MilliGM-PER-L,do,12.56
108,6/6/22 9:00,peter,3.5,MilliGM-PER-L,do,11.77
109,6/6/22 9:00,peter,3.75,MilliGM-PER-L,do,11.4
110,6/6/22 9:00,peter,4,MilliGM-PER-L,do,9.45
111,6/6/22 9:00,peter,4,MicroGM-PER-L,TP,33.078
112,6/6/22 9:00,peter,4,MilliGM-PER-L,doc,4.475
113,6/6/22 9:00,peter,4.25,MilliGM-PER-L,do,3.39
114,6/6/22 9:00,peter,4.5,MilliGM-PER-L,do,1.42
115,6/6/22 9:00,peter,4.75,MilliGM-PER-L,do,1.02
116,6/6/22 9:00,peter,5,MilliGM-PER-L,do,0.97
117,6/6/22 9:00,peter,5.25,MilliGM-PER-L,do,0.95
118,6/6/22 9:00,peter,5.5,MilliGM-PER-L,do,0.95
119,6/6/22 9:00,peter,5.75,MilliGM-PER-L,do,0.95
120,6/6/22 9:00,peter,6,MilliGM-PER-L,do,0.95
121,6/6/22 9:00,peter,6.5,MilliGM-PER-L,do,0.96
122,6/6/22 9:00,peter,7,MilliGM-PER-L,do,0.86
123,6/6/22 9:00,peter,7.5,MilliGM-PER-L,do,0.76
124,6/6/22 9:00,peter,8,MilliGM-PER-L,do,0.73
125,6/6/22 9:00,peter,12,MicroGM-PER-L,TP,97.586
126,6/6/22 9:00,peter,12,MilliGM-PER-L,doc,4.83
127,6/7/22 9:00,peter,0,MilliGM-PER-L,do,8.58
128,6/7/22 9:00,peter,0.5,MilliGM-PER-L,do,8.52
129,6/7/22 9:00,peter,1,MilliGM-PER-L,do,8.43
130,6/7/22 9:00,peter,1.5,MilliGM-PER-L,do,8.38
131,6/7/22 9:00,peter,2,MilliGM-PER-L,do,10.44
132,6/7/22 9:00,peter,2.5,MilliGM-PER-L,do,12.47
133,6/7/22 9:00,peter,3,MilliGM-PER-L,do,12.79
134,6/7/22 9:00,peter,3.25,MilliGM-PER-L,do,12.37
135,6/7/22 9:00,peter,3.5,MilliGM-PER-L,do,12.51
136,6/7/22 9:00,peter,3.75,MilliGM-PER-L,do,12.33
137,6/7/22 9:00,peter,4,MilliGM-PER-L,do,11.47
138,6/7/22 9:00,peter,4.25,MilliGM-PER-L,do,8.14
139,6/7/22 9:00,peter,4.5,MilliGM-PER-L,do,2.6
140,6/7/22 9:00,peter,4.75,MilliGM-PER-L,do,1.36
141,6/7/22 9:00,peter,5,MilliGM-PER-L,do,1.07
142,6/7/22 9:00,peter,5.25,MilliGM-PER-L,do,0.99
143,6/7/22 9:00,peter,5.5,MilliGM-PER-L,do,0.91
144,6/7/22 9:00,peter,5.75,MilliGM-PER-L,do,0.85
145,6/7/22 9:00,peter,6,MilliGM-PER-L,do,0.84
146,6/7/22 9:00,peter,6.5,MilliGM-PER-L,do,0.83
147,6/7/22 9:00,peter,7,MilliGM-PER-L,do,0.75
148,6/7/22 9:00,peter,7.5,MilliGM-PER-L,do,0.73
149,6/7/22 9:00,peter,8,MilliGM-PER-L,do,0.72
150,6/8/22 8:00,peter,0,MilliGM-PER-L,do,8.5
151,6/8/22 8:00,peter,0.5,MilliGM-PER-L,do,8.49
152,6/8/22 8:00,peter,1,MilliGM-PER-L,do,8.43
153,6/8/22 8:00,peter,1.5,MilliGM-PER-L,do,8.48
154,6/8/22 8:00,peter,2,MilliGM-PER-L,do,10.56
155,6/8/22 8:00,peter,2.5,MilliGM-PER-L,do,12.17
156,6/8/22 8:00,peter,3,MilliGM-PER-L,do,12.82
157,6/8/22 8:00,peter,3.25,MilliGM-PER-L,do,12.7
158,6/8/22 8:00,peter,3.5,MilliGM-PER-L,do,12.6
159,6/8/22 8:00,peter,3.75,MilliGM-PER-L,do,12
