datetime,layer,tp
5/30/22 9:00,epi,15.934
5/30/22 9:00,meta,43.351
5/30/22 9:00,hypo,125.903
6/6/22 9:00,epi,16.4
6/6/22 9:00,meta,33.078
6/6/22 9:00,hypo,97.586
6/13/22 9:00,epi,14.37
6/13/22 9:00,meta,53.876
6/13/22 9:00,hypo,42.734
6/20/22 9:00,epi,15.72
6/20/22 9:00,meta,21.689
6/20/22 9:00,hypo,180.016
6/27/22 9:00,epi,15.094
6/27/22 9:00,meta,30.124
6/27/22 9:00,hypo,16.892
7/5/22 9:00,epi,12.693
7/5/22 9:00,meta,25.717
7/5/22 9:00,hypo,230.151
7/11/22 9:00,epi,17.91
7/11/22 9:00,meta,23.651
7/11/22 9:00,hypo,185.708
7/18/22 9:00,epi,16.585
7/18/22 9:00,meta,23.581
7/18/22 9:00,hypo,163.845
7/25/22 9:00,epi,15.17
7/25/22 9:00,meta,18.067
7/25/22 9:00,hypo,232.797
8/1/22 9:00,epi,13.958
8/1/22 9:00,meta,18.025
8/1/22 9:00,hypo,163.969
8/8/22 9:00,epi,23.437
8/8/22 9:00,meta,29.295
8/8/22 9:00,hypo,246.497
5/30/23 9:00,epi,8.434
5/30/23 9:00,meta,30.337
6/6/23 9:00,epi,10.056
6/6/23 9:00,meta,17.428
6/6/23 9:00,hypo,183.183
6/13/23 9:00,epi,7.653
6/13/23 9:00,meta,22
6/20/23 9:00,epi,6.057
6/20/23 9:00,meta,19.77
6/27/23 9:00,epi,7.478
6/27/23 9:00,meta,24.997
7/5/23 9:00,epi,7.316
7/5/23 9:00,meta,19.882
7/5/23 9:00,hypo,277.32
7/11/23 9:00,epi,6.843
7/11/23 9:00,meta,16.731
7/18/23 9:00,epi,15.164
7/18/23 9:00,meta,12.395
7/25/23 9:00,epi,7.697
7/25/23 9:00,meta,8.89
8/1/23 9:00,epi,7.415
8/1/23 9:00,meta,10.918
8/1/23 9:00,hypo,93.649
8/7/23 9:00,epi,6.029
8/7/23 9:00,meta,10.501
7/15/24 9:00,meta,19.346
7/15/24 9:00,hypo,143.369
7/22/24 9:00,epi,28.547
7/22/24 9:00,meta,22.642
7/22/24 9:00,hypo,228.73
7/29/24 9:00,epi,21.768
7/29/24 9:00,meta,24.198
7/29/24 9:00,hypo,211.409
8/5/24 9:00,epi,23.166
8/5/24 9:00,meta,22.697
8/5/24 9:00,hypo,171.062
8/12/24 9:00,epi,8.612
8/12/24 9:00,meta,24.251
8/12/24 9:00,hypo,184.787
8/19/24 9:00,epi,25.402
8/19/24 9:00,meta,26.06
8/19/24 9:00,hypo,265.963
5/20/24 9:00,epi,14.157
5/20/24 9:00,meta,19.369
5/20/24 9:00,hypo,153.074
5/27/24 9:00,epi,11.213
5/27/24 9:00,meta,24.469
5/27/24 9:00,hypo,140.992
6/3/24 9:00,epi,11.744
6/3/24 9:00,meta,18.736
6/3/24 9:00,hypo,156.377
6/10/24 9:00,epi,10.441
6/10/24 9:00,meta,17.994
6/10/24 9:00,hypo,171.328
6/17/24 9:00,epi,23.35
6/17/24 9:00,meta,20.872
6/17/24 9:00,hypo,160.613
6/24/24 9:00,epi,58.261
6/24/24 9:00,meta,18.836
6/24/24 9:00,hypo,151.512
7/1/24 9:00,epi,20.1
7/1/24 9:00,meta,17.938
7/1/24 9:00,hypo,209.252
7/8/24 9:00,epi,23.926
7/8/24 9:00,meta,19.533
7/8/24 9:00,hypo,207.835
7/15/24 9:00,epi,23.452
7/15/24 9:00,meta,19.346
7/15/24 9:00,hypo,143.369
7/22/24 9:00,epi,28.547
7/22/24 9:00,meta,22.642
7/22/24 9:00,hypo,228.73
7/29/24 9:00,epi,21.768
7/29/24 9:00,meta,24.198
7/29/24 9:00,hypo,211.409
8/5/24 9:00,epi,23.166
8/5/24 9:00,meta,22.697
8/5/24 9:00,hypo,171.062
8/12/24 9:00,epi,8.612
8/12/24 9:00,meta,24.251
8/12/24 9:00,hypo,184.787
8/19/24 9:00,epi,25.402
8/19/24 9:00,meta,26.06
8/19/24 9:00,hypo,265.963
