var,Description,Units,Lake1,Lake1,Lake2,Paul's,Difference,,,,,,,,
km,Background eddy diffusivity,m2 s−1,1.40E-07,1.40E-07,1.40E-07,1.40E-07,0,,,,,,,,
k0,Adjustable eddy diffusivity,m2 s−1,1.00E-03,1.00E-03,0.01,0.01,-0.009,1,slightly warmer winter values,,,,,,
weight_kz,Weighting factor for eddy diffusivity (mixing intensity),Unitless,0.3,0.3,0.5,0.5,-0.2,1,,,,,,,
piston_velocity,Gas transfer velocity/ velocity for air-water exchange,m s−1,1.00E+00,1.00E+00,1,1.00E+00,0,,,,,,,,
Cd,Momentum coefficient of wind,Unitless,0.0013,0.0013,0.0013,0.0013,0,,,,,,,,
hydro_res_time,Hydrologic residence time,yr,4.3,4.3,4.3,4.3,0,,,,,,,,
W_str,Wind-derived shear scaling term,Unitless,None,None,None,None,#VALUE!,,,,,,,,
denThresh,Density threshold for mixing,kg m−3,0.01,0.01,0.01,0.001,0.009,3,not much impact-> try again,,,,,,
kd_light,Background light attenuation,m−1,0.8,0.6,0.6,0.6,0,,,,,,,,
light_water,Background light extinction,m−1,0.125,0.125,0.125,0.125,0,,,,,,,,
light_doc,DOC light extinction,m−1,0.02,0.02,0.025,0.02,0,,,,,,,,
light_poc,POC light extinction,m−1,1.2,1.2,0.7,1.2,0,***up to decrease secchi,,,,,,,
eps,Surface emissivity (for outgoing longwave),Unitless,0.97,0.97,0.97,0.97,0,,,,,,,,
emissivity,Emissivity of water surface,Unitless,0.97,0.97,0.97,0.97,0,,,,,,,,
sigma,Stefan-Boltzmann constant,W m-2 K-4,5.67E-08,5.67E-08,5.67E-08,5.67E-08,0,,,,,,,,
sw_factor,Multiplier for shortwave radiation,Unitless,0.9,0.9,1,0.7,0.2,5,"***checking this from 0.9 to 0.7, back to 0.9",,,,,,
wind_factor,Multiplier for wind speed,Unitless,0.95,0.95,1.2,0.4,0.55,2,"big difference -> raised hypo temp from a straigh tline, toned down npp, mixing of 02. 1= thermo too deep",,,,,,
at_factor,Multiplier for air temperature,Unitless,1,1,1,1,0,,,,,,,,
turb_factor,Multiplier for turbulent heat fluxes,Unitless,1,1,1,1,0,,,,,,,,
Hgeo,Geothermal heat flux,W m−2,0.1,0.1,0.1,0.001,0.099,4,**checking senesitivity to this 0.001->.01,,,,,,
resp_docr,Respiration rate of recalcitrant DOC,day−1,0.002,0.002,0.003,0.003,-0.001,Locked in,".003= decrease, 0.001=increase",,,,,,
resp_docl,Respiration rate of labile DOC,day−1,0.06,0.05,0.05,0.03,0.02,2,,,,,,,
resp_pocr,Respiration rate of  recalcitrant POC,,0.01,0.01,,0.01,0,,,,,,,,
resp_pocl,Respiration rate of laible POC,day−1,0.1,0.1,0.15,0.1,0,3- reversed from.12,,,,Temp,,,
sed_sink,Idealized nutrient source rate,g m−2 day−1,-0.0626,-0.0626,-0.0626,-0.0626,0,,,,,wf.9,,,
settling_rate_labile,Settling rate of POC labile,m day−1,0.5,0.5,0.03,0.3,0.2,*** decrease,,,,swto 0.9->1,,,
settling_rate_refractory,Settling rate of POC refractory,m day−1,1,1,0.3,1,0,,,,,den threwsh back to0.01 ->  0.001,,,
sediment_rate,Sedimentation rate of POC,m day−1,0.005,0.005,0.1,0.005,0,,,,,"den thresh to 0.01, sw to 0.9, hgeo=0.1",,,
theta_npp,Arrhenius temperature multiplier for net primary production,Unitless,1.15,1.1,1.08,1.15,-0.05,5took poc too low,,,,wdactor to 0.9,,,
theta_r,Arrhenius temperature multiplier for respiration,Unitless,1.1,1.08,1.08,1.08,0,6,,,,,,,
