var,Description,Units,Lake1
km,Background eddy diffusivity,m2 s−1,1.4E-07
k0,Adjustable eddy diffusivity,m2 s−1,0.01
weight_kz,Weighting factor for eddy diffusivity (mixing intensity),Unitless,0.5
piston_velocity,Gas transfer velocity/ velocity for air-water exchange,m s−1,1
Cd,Momentum coefficient of wind,Unitless,0.0013
W_str,Wind-derived shear scaling term,Unitless,
denThresh,Density threshold for mixing,kg m−3,0.01
kd_light,Background light attenuation,m−1,0.6
light_water,Background light extinction,m−1,0.125
light_doc,DOC light extinction,m−1,0.025
light_poc,POC light extinction,m−1,0.7
eps,Surface emissivity (for outgoing longwave),Unitless,0.97
emissivity,Emissivity of water surface,Unitless,0.97
sigma,Stefan-Boltzmann constant,W m-2 K-4,5.67E-08
Hgeo,Geothermal heat flux,W m−2,0.1
resp_docr,Respiration rate of recalcitrant DOC,day−1,0.003
resp_docl,Respiration rate of labile DOC,day−1,0.05
resp_pocr,Respiration rate of recalcitrant POC,day−1,0.02
resp_pocl,Respiration rate of liable POC,day−1,0.1
sed_sink,Idealized nutrient source rate,g m−2 day−1,-0.0626
settling_rate_labile,Settling rate of POC labile,m day−1,0.3
settling_rate_refractory,Settling rate of POC refractory,m day−1,1
sediment_rate,Sedimentation rate of POC,m day−1,0.15
theta_npp,Arrhenius temperature multiplier for net primary production,Unitless,1.15
theta_r,Arrhenius temperature multiplier for respiration,Unitless,1.08
conversion_constant,Conversion between energy and carbon,gC per unit energy,0.0001
k_half,Michaelis-Menten DO half saturation coefficient,g m−3,0.5
p_max,Maximum photosynthetic production rate,gC m-3 d-1,1
p2,2nd parameter in productivity curve,,1
B,Light-use offset parameter,,0.61
g,Gravity,ms−2,9.81
meltP,Multiplier for ice melting,Unitless,1
d_thick,ÊThickness of diffusive boundary layers, m,0.01
k_TP,Multiplier for TP influence,,0.1
prop_I_npp,light use,dimensionless,1
