Depth_meter,Area_meterSquared
0,10000000.0
1,9943816.67
2,9886334.11
3,9827482.7
4,9767186.84
5,9705364.23
6,9641925.04
7,9576770.93
8,9509793.93
9,9440875.11
10,9369883.03
11,9296671.85
12,9221079.11
13,9142923.1
14,9061999.54
15,8978077.68
16,8890895.36
17,8800152.94
18,8705505.63
19,8606553.73
20,8502830.0
21,8393783.27
22,8278756.46
23,8156956.95
24,8027415.62
25,7888928.81
26,7739973.97
27,7578582.83
28,7402143.45
29,7207076.1
30,6988271.19
31,6738038.7
32,6443940.15
33,6083643.42
34,5609775.73
35,4883593.42
36,0.0
