datetime,layer,tp
1/27/16 6:00,epi,80
1/27/16 6:00,epi,87
3/28/16 7:00,epi,81
4/12/16 7:00,epi,56
4/12/16 7:00,epi,51
4/25/16 7:00,epi,39
5/11/16 7:00,epi,49
5/23/16 7:00,epi,45
6/7/16 7:00,epi,23
6/20/16 7:00,epi,26
7/5/16 7:00,epi,26
7/18/16 7:00,epi,22
8/1/16 7:00,epi,17
8/1/16 7:00,epi,22
8/15/16 7:00,epi,23
8/30/16 7:00,epi,18
10/4/16 7:00,epi,38
11/9/16 6:00,epi,5
11/9/16 6:00,epi,86
2/6/17 6:00,epi,142
2/6/17 6:00,epi,141
4/17/17 7:00,epi,76
5/3/17 7:00,epi,75
5/15/17 7:00,epi,58
5/30/17 7:00,epi,86
6/12/17 7:00,epi,84
6/26/17 7:00,epi,68
7/10/17 7:00,epi,47
7/24/17 7:00,epi,46
8/7/17 7:00,epi,41
8/7/17 7:00,epi,36
8/23/17 7:00,epi,32
9/6/17 7:00,epi,29
9/25/17 7:00,epi,27
10/4/17 7:00,epi,22
11/2/17 7:00,epi,106
11/2/17 7:00,epi,101
12/19/17 6:00,epi,122
1/23/18 6:00,epi,108
1/23/18 6:00,epi,110
4/5/18 7:00,epi,147
5/7/18 7:00,epi,85
5/29/18 7:00,epi,85
6/11/18 7:00,epi,55
6/25/18 7:00,epi,79
7/9/18 7:00,epi,41
7/23/18 7:00,epi,41
8/6/18 7:00,epi,17
8/6/18 7:00,epi,19
8/22/18 7:00,epi,24
9/4/18 7:00,epi,25
9/19/18 7:00,epi,24
10/2/18 7:00,epi,43
10/18/18 7:00,epi,81
10/29/18 7:00,epi,115
10/29/18 7:00,epi,128
11/14/18 6:00,epi,126
11/30/18 6:00,epi,132
2/21/19 6:00,epi,45
2/21/19 6:00,epi,252
4/3/19 7:00,epi,178
4/15/19 7:00,epi,154
4/15/19 7:00,epi,163
4/29/19 7:00,epi,117
5/13/19 7:00,epi,94
5/28/19 7:00,epi,103
5/28/19 7:00,epi,99
6/11/19 7:00,epi,98
6/24/19 7:00,epi,103
7/8/19 7:00,epi,132
7/22/19 7:00,epi,48
8/5/19 7:00,epi,39
8/21/19 7:00,epi,51
9/4/19 7:00,epi,63
9/11/19 7:00,epi,66
10/4/19 7:00,epi,101
10/28/19 7:00,epi,163
11/20/19 6:00,epi,164
2/12/20 6:00,epi,41
2/12/20 6:00,epi,167
5/7/20 7:00,epi,102
5/15/20 7:00,epi,78
6/2/20 7:00,epi,84
6/12/20 7:00,epi,92
6/24/20 7:00,epi,49
7/8/20 7:00,epi,95
7/22/20 7:00,epi,45
8/6/20 7:00,epi,75
8/20/20 7:00,epi,27
9/2/20 7:00,epi,28
9/18/20 7:00,epi,36
10/8/20 7:00,epi,74
11/3/20 6:00,epi,97
12/10/20 6:00,epi,115
3/3/21 6:00,epi,27
3/3/21 6:00,epi,117
4/6/21 7:00,epi,111
4/22/21 7:00,epi,71
5/6/21 7:00,epi,80
5/17/21 7:00,epi,19
5/17/21 7:00,epi,83
6/2/21 7:00,epi,123
6/16/21 7:00,epi,46
6/30/21 7:00,epi,192
7/16/21 7:00,epi,38
7/27/21 7:00,epi,36
8/12/21 7:00,epi,35
11/4/21 7:00,epi,99
11/4/21 7:00,epi,98
2/8/22 7:00,epi,76
5/16/22 7:00,epi,36
8/9/22 7:00,epi,26
11/1/22 7:00,epi,90
2/28/23 7:00,epi,55
5/17/23 7:00,epi,32
8/7/23 7:00,epi,7
11/1/23 7:00,epi,53
3/4/24 7:00,epi,19.897
5/15/24 7:00,epi,37.074
8/7/24 7:00,epi,28.52
10/28/24 7:00,epi,68.89
