datetime,layer,tp
1/27/16 6:00,epi,8.0
1/27/16 6:00,epi,8.7
3/28/16 7:00,epi,8.1
4/12/16 7:00,epi,5.6
4/12/16 7:00,epi,5.1
4/25/16 7:00,epi,3.9
5/11/16 7:00,epi,4.9
5/23/16 7:00,epi,4.5
6/7/16 7:00,epi,2.3
6/20/16 7:00,epi,2.6
7/5/16 7:00,epi,2.6
7/18/16 7:00,epi,2.2
8/1/16 7:00,epi,1.7
8/1/16 7:00,epi,2.2
8/15/16 7:00,epi,2.3
8/30/16 7:00,epi,1.8
10/4/16 7:00,epi,3.8
11/9/16 6:00,epi,0.5
11/9/16 6:00,epi,8.6
2/6/17 6:00,epi,14.2
2/6/17 6:00,epi,14.1
4/17/17 7:00,epi,7.6
5/3/17 7:00,epi,7.5
5/15/17 7:00,epi,5.8
5/30/17 7:00,epi,8.6
6/12/17 7:00,epi,8.4
6/26/17 7:00,epi,6.8
7/10/17 7:00,epi,4.7
7/24/17 7:00,epi,4.6
8/7/17 7:00,epi,4.1
8/7/17 7:00,epi,3.6
8/23/17 7:00,epi,3.2
9/6/17 7:00,epi,2.9
9/25/17 7:00,epi,2.7
10/4/17 7:00,epi,2.2
11/2/17 7:00,epi,10.6
11/2/17 7:00,epi,10.1
12/19/17 6:00,epi,12.2
1/23/18 6:00,epi,10.8
1/23/18 6:00,epi,11.0
4/5/18 7:00,epi,14.7
5/7/18 7:00,epi,8.5
5/29/18 7:00,epi,8.5
6/11/18 7:00,epi,5.5
6/25/18 7:00,epi,7.9
7/9/18 7:00,epi,4.1
7/23/18 7:00,epi,4.1
8/6/18 7:00,epi,1.7
8/6/18 7:00,epi,1.9
8/22/18 7:00,epi,2.4
9/4/18 7:00,epi,2.5
9/19/18 7:00,epi,2.4
10/2/18 7:00,epi,4.3
10/18/18 7:00,epi,8.1
10/29/18 7:00,epi,11.5
10/29/18 7:00,epi,12.8
11/14/18 6:00,epi,12.6
11/30/18 6:00,epi,13.2
2/21/19 6:00,epi,4.5
2/21/19 6:00,epi,25.2
4/3/19 7:00,epi,17.8
4/15/19 7:00,epi,15.4
4/15/19 7:00,epi,16.3
4/29/19 7:00,epi,11.7
5/13/19 7:00,epi,9.4
5/28/19 7:00,epi,10.3
5/28/19 7:00,epi,9.9
6/11/19 7:00,epi,9.8
6/24/19 7:00,epi,10.3
7/8/19 7:00,epi,13.2
7/22/19 7:00,epi,4.8
8/5/19 7:00,epi,3.9
8/21/19 7:00,epi,5.1
9/4/19 7:00,epi,6.3
9/11/19 7:00,epi,6.6
10/4/19 7:00,epi,10.1
10/28/19 7:00,epi,16.3
11/20/19 6:00,epi,16.4
2/12/20 6:00,epi,4.1
2/12/20 6:00,epi,16.7
5/7/20 7:00,epi,10.2
5/15/20 7:00,epi,7.8
6/2/20 7:00,epi,8.4
6/12/20 7:00,epi,9.2
6/24/20 7:00,epi,4.9
7/8/20 7:00,epi,9.5
7/22/20 7:00,epi,4.5
8/6/20 7:00,epi,7.5
8/20/20 7:00,epi,2.7
9/2/20 7:00,epi,2.8
9/18/20 7:00,epi,3.6
10/8/20 7:00,epi,7.4
11/3/20 6:00,epi,9.7
12/10/20 6:00,epi,11.5
3/3/21 6:00,epi,2.7
3/3/21 6:00,epi,11.7
4/6/21 7:00,epi,11.1
4/22/21 7:00,epi,7.1
5/6/21 7:00,epi,8.0
5/17/21 7:00,epi,1.9
5/17/21 7:00,epi,8.3
6/2/21 7:00,epi,12.3
6/16/21 7:00,epi,4.6
6/30/21 7:00,epi,19.2
7/16/21 7:00,epi,3.8
7/27/21 7:00,epi,3.6
8/12/21 7:00,epi,3.5
11/4/21 7:00,epi,9.9
11/4/21 7:00,epi,9.8
2/8/22 7:00,epi,7.6
5/16/22 7:00,epi,3.6
8/9/22 7:00,epi,2.6
11/1/22 7:00,epi,9.0
2/28/23 7:00,epi,5.5
5/17/23 7:00,epi,3.2
8/7/23 7:00,epi,0.7
11/1/23 7:00,epi,5.3
3/4/24 7:00,epi,1.9896999999999998
5/15/24 7:00,epi,3.7074
8/7/24 7:00,epi,2.852
10/28/24 7:00,epi,6.889
