,datetime,layer,tp
0,1/27/16 6:00,epi,40.0
1,1/27/16 6:00,epi,43.5
2,3/28/16 7:00,epi,40.5
3,4/12/16 7:00,epi,28.0
4,4/12/16 7:00,epi,25.5
5,4/25/16 7:00,epi,19.5
6,5/11/16 7:00,epi,24.5
7,5/23/16 7:00,epi,22.5
8,6/7/16 7:00,epi,11.5
9,6/20/16 7:00,epi,13.0
10,7/5/16 7:00,epi,13.0
11,7/18/16 7:00,epi,11.0
12,8/1/16 7:00,epi,8.5
13,8/1/16 7:00,epi,11.0
14,8/15/16 7:00,epi,11.5
15,8/30/16 7:00,epi,9.0
16,10/4/16 7:00,epi,19.0
17,11/9/16 6:00,epi,2.5
18,11/9/16 6:00,epi,43.0
19,2/6/17 6:00,epi,71.0
20,2/6/17 6:00,epi,70.5
21,4/17/17 7:00,epi,38.0
22,5/3/17 7:00,epi,37.5
23,5/15/17 7:00,epi,29.0
24,5/30/17 7:00,epi,43.0
25,6/12/17 7:00,epi,42.0
26,6/26/17 7:00,epi,34.0
27,7/10/17 7:00,epi,23.5
28,7/24/17 7:00,epi,23.0
29,8/7/17 7:00,epi,20.5
30,8/7/17 7:00,epi,18.0
31,8/23/17 7:00,epi,16.0
32,9/6/17 7:00,epi,14.5
33,9/25/17 7:00,epi,13.5
34,10/4/17 7:00,epi,11.0
35,11/2/17 7:00,epi,53.0
36,11/2/17 7:00,epi,50.5
37,12/19/17 6:00,epi,61.0
38,1/23/18 6:00,epi,54.0
39,1/23/18 6:00,epi,55.0
40,4/5/18 7:00,epi,73.5
41,5/7/18 7:00,epi,42.5
42,5/29/18 7:00,epi,42.5
43,6/11/18 7:00,epi,27.5
44,6/25/18 7:00,epi,39.5
45,7/9/18 7:00,epi,20.5
46,7/23/18 7:00,epi,20.5
47,8/6/18 7:00,epi,8.5
48,8/6/18 7:00,epi,9.5
49,8/22/18 7:00,epi,12.0
50,9/4/18 7:00,epi,12.5
51,9/19/18 7:00,epi,12.0
52,10/2/18 7:00,epi,21.5
53,10/18/18 7:00,epi,40.5
54,10/29/18 7:00,epi,57.5
55,10/29/18 7:00,epi,64.0
56,11/14/18 6:00,epi,63.0
57,11/30/18 6:00,epi,66.0
58,2/21/19 6:00,epi,22.5
59,2/21/19 6:00,epi,126.0
60,4/3/19 7:00,epi,89.0
61,4/15/19 7:00,epi,77.0
62,4/15/19 7:00,epi,81.5
63,4/29/19 7:00,epi,58.5
64,5/13/19 7:00,epi,47.0
65,5/28/19 7:00,epi,51.5
66,5/28/19 7:00,epi,49.5
67,6/11/19 7:00,epi,49.0
68,6/24/19 7:00,epi,51.5
69,7/8/19 7:00,epi,66.0
70,7/22/19 7:00,epi,24.0
71,8/5/19 7:00,epi,19.5
72,8/21/19 7:00,epi,25.5
73,9/4/19 7:00,epi,31.5
74,9/11/19 7:00,epi,33.0
75,10/4/19 7:00,epi,50.5
76,10/28/19 7:00,epi,81.5
77,11/20/19 6:00,epi,82.0
78,2/12/20 6:00,epi,20.5
79,2/12/20 6:00,epi,83.5
80,5/7/20 7:00,epi,51.0
81,5/15/20 7:00,epi,39.0
82,6/2/20 7:00,epi,42.0
83,6/12/20 7:00,epi,46.0
84,6/24/20 7:00,epi,24.5
85,7/8/20 7:00,epi,47.5
86,7/22/20 7:00,epi,22.5
87,8/6/20 7:00,epi,37.5
88,8/20/20 7:00,epi,13.5
89,9/2/20 7:00,epi,14.0
90,9/18/20 7:00,epi,18.0
91,10/8/20 7:00,epi,37.0
92,11/3/20 6:00,epi,48.5
93,12/10/20 6:00,epi,57.5
94,3/3/21 6:00,epi,13.5
95,3/3/21 6:00,epi,58.5
96,4/6/21 7:00,epi,55.5
97,4/22/21 7:00,epi,35.5
98,5/6/21 7:00,epi,40.0
99,5/17/21 7:00,epi,9.5
100,5/17/21 7:00,epi,41.5
101,6/2/21 7:00,epi,61.5
102,6/16/21 7:00,epi,23.0
103,6/30/21 7:00,epi,96.0
104,7/16/21 7:00,epi,19.0
105,7/27/21 7:00,epi,18.0
106,8/12/21 7:00,epi,17.5
107,11/4/21 7:00,epi,49.5
108,11/4/21 7:00,epi,49.0
109,2/8/22 7:00,epi,38.0
110,5/16/22 7:00,epi,18.0
111,8/9/22 7:00,epi,13.0
112,11/1/22 7:00,epi,45.0
113,2/28/23 7:00,epi,27.5
114,5/17/23 7:00,epi,16.0
115,8/7/23 7:00,epi,3.5
116,11/1/23 7:00,epi,26.5
117,3/4/24 7:00,epi,9.9485
118,5/15/24 7:00,epi,18.537
119,8/7/24 7:00,epi,14.26
120,10/28/24 7:00,epi,34.445
